Rank,Podcast,Plays (>30s),URL
1,The Daily,97032836,https://podcasts.apple.com/us/podcast/id1200361736
2,The Joe Rogan Experience,83547716,https://podcasts.apple.com/us/podcast/id360084272
3,Dateline NBC,63142055,https://podcasts.apple.com/us/podcast/id1464919521
4,Crime Junkie,62384372,https://podcasts.apple.com/us/podcast/id1322200189
5,Pardon My Take,54175212,https://podcasts.apple.com/us/podcast/id1089022756
6,Up First from NPR,43326195,https://podcasts.apple.com/us/podcast/id1222114325
7,The Megyn Kelly Show,42349335,https://podcasts.apple.com/us/podcast/id1532976305
8,Morbid,38763934,https://podcasts.apple.com/us/podcast/id1379959217
9,Pod Save America,37904248,https://podcasts.apple.com/us/podcast/id1192761536
10,The Ben Shapiro Show,35365262,https://podcasts.apple.com/us/podcast/id1047335260
11,The Bill Simmons Podcast,35055934,https://podcasts.apple.com/us/podcast/id1043699613
12,SmartLess,30142079,https://podcasts.apple.com/us/podcast/id1521578868
13,The Mel Robbins Podcast,29822502,https://podcasts.apple.com/us/podcast/id1646101002
14,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,28522938,https://podcasts.apple.com/us/podcast/id1074507850
15,48 Hours,27074199,https://podcasts.apple.com/us/podcast/id965818306
16,Shawn Ryan Show,25771648,https://podcasts.apple.com/us/podcast/id1492492083
17,20/20,24072042,https://podcasts.apple.com/us/podcast/id987967575
18,The Dan Le Batard Show with Stugotz,23402728,https://podcasts.apple.com/us/podcast/id934820588
19,The Ezra Klein Show,23084592,https://podcasts.apple.com/us/podcast/id1548604447
20,Armchair Expert with Dax Shepard,21406018,https://podcasts.apple.com/us/podcast/id1345682353
21,The Toast,21283510,https://podcasts.apple.com/us/podcast/id1368081567
22,The Tucker Carlson Show,20995714,https://podcasts.apple.com/us/podcast/id1719657632
23,Stuff You Should Know,20868907,https://podcasts.apple.com/us/podcast/id278981407
24,This Past Weekend w/ Theo Von,20254094,https://podcasts.apple.com/us/podcast/id1190981360
25,Conan Oâ€™Brien Needs A Friend,20000202,https://podcasts.apple.com/us/podcast/id1438054347
26,The MeidasTouch Podcast,18920140,https://podcasts.apple.com/us/podcast/id1510240831
27,The Ramsey Show,18563943,https://podcasts.apple.com/us/podcast/id77001367
28,Morning Wire,17981376,https://podcasts.apple.com/us/podcast/id1576594336
29,The Joe Budden Podcast,17967432,https://podcasts.apple.com/us/podcast/id1535809341
30,The Rest Is History,17669561,https://podcasts.apple.com/us/podcast/id1537788786